"timesteps","Variabilidade - _step","Variabilidade - _step__MIN","Variabilidade - _step__MAX","Variabilidade - mean_reward_test","Variabilidade - mean_reward_test__MIN","Variabilidade - mean_reward_test__MAX","Sustentabilidade - _step","Sustentabilidade - _step__MIN","Sustentabilidade - _step__MAX","Sustentabilidade - mean_reward_test","Sustentabilidade - mean_reward_test__MIN","Sustentabilidade - mean_reward_test__MAX","Lucro - _step","Lucro - _step__MIN","Lucro - _step__MAX","Lucro - mean_reward_test","Lucro - mean_reward_test__MIN","Lucro - mean_reward_test__MAX"
"289536","583641.5","583631","583646","437.9073348500001","437.9073348500001","437.9073348500001","583641.5","583631","583646","223.47814212999995","223.47814212999998","223.47814212999998","583641.5","583631","583646","401.60868743","401.60868743","401.60868743"
"292864","590350.5","590340","590355","452.57796645999997","452.57796645999997","452.57796645999997","590350.5","590340","590355","195.67727435000003","195.67727435","195.67727435","590350.5","590340","590355","414.21122555","414.21122554999994","414.21122554999994"
"296192","597058.5","597048","597063","470.05056684000004","470.05056684000004","470.05056684000004","597058.5","597048","597063","196.49252413000002","196.49252413000002","196.49252413000002","597058.5","597048","597063","433.82529424999996","433.82529425","433.82529425"
"299520","603767.5","603757","603772","421.77890704","421.77890704","421.77890704","603767.5","603757","603772","213.3780270900001","213.37802709000007","213.37802709000007","603767.5","603757","603772","426.83023605000005","426.83023605","426.83023605"
"302848","610476.5","610466","610481","377.58965407","377.58965406999994","377.58965406999994","610476.5","610466","610481","228.43894860000003","228.43894860000003","228.43894860000003","610476.5","610466","610481","430.04482612999993","430.04482613","430.04482613"
"306176","617184.5","617174","617189","367.42540953","367.42540953","367.42540953","617184.5","617174","617189","205.25104599","205.25104599","205.25104599","617184.5","617174","617189","396.55240736999997","396.55240737","396.55240737"
"309504","623893.5","623883","623898","377.59707298","377.59707297999995","377.59707297999995","623893.5","623883","623898","204.08558934000004","204.08558934","204.08558934","623893.5","623883","623898","383.05796762","383.05796762","383.05796762"
"312832","630601.5","630591","630606","424.52299346999996","424.5229934699999","424.5229934699999","630601.5","630591","630606","213.45098968000002","213.45098968000002","213.45098968000002","630601.5","630591","630606","385.16095858000006","385.16095858","385.16095858"
"316160","637310.5","637300","637315","392.03590115","392.03590115","392.03590115","637310.5","637300","637315","238.80469190000002","238.8046919","238.8046919","637310.5","637300","637315","412.16448704999993","412.16448704999993","412.16448704999993"
"319488","644019.5","644009","644024","375.5711307699999","375.57113076999997","375.57113076999997","644019.5","644009","644024","232.58657925000006","232.58657925000003","232.58657925000003","644019.5","644009","644024","409.13528915","409.13528915","409.13528915"
